AC;1;733559;8476515;11.57
AL;1;3120494;24574808;7.87
AM;1;3483985;59779292;17.17
AP;1;669526;8265965;12.36
BA;1;14016906;154340458;11.01
CE;1;8452381;77865415;9.22
DF;1;2570160;149906319;58.49
ES;1;3514952;82121834;23.38
GO;1;6003788;97575930;16.25
MA;1;6574789;45255942;6.89
MG;1;19597330;351380905;17.93
MS;1;2449024;43514207;17.77
MT;1;3035122;59599990;19.64
PA;1;7581051;77847597;10.26
PB;1;15;3766528;31947059;8.48
PE;1;8796448;95186714;10.82
PI;1;3110292;22060161;7.07
PR;1;10444526;217289677;20.81
RJ;1;15989929;407122794;25.46
RN;1;3168027;32338895;10.21
RO;1;1562409;23560644;15.10
RR;1;450479;6340601;14.05
RS;1;10693929;252482597;23.61
SC;1;6248436;152482338;24.40
SE;1;2068017;23932155;11.57
SP;1;41262199;1247595927;30.24
TO;1;1383445;17240135;12.46
